x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,STN_ID
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.3,2017-07-03 00:00:00,ON,2017,7,3,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.4,2017-07-04 00:00:00,ON,2017,7,4,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.5,2017-07-05 00:00:00,ON,2017,7,5,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.6,2017-07-06 00:00:00,ON,2017,7,6,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.7,2017-07-07 00:00:00,ON,2017,7,7,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.8,2017-07-08 00:00:00,ON,2017,7,8,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.9,2017-07-09 00:00:00,ON,2017,7,9,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.10,2017-07-10 00:00:00,ON,2017,7,10,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.11,2017-07-11 00:00:00,ON,2017,7,11,,,,,,,,,,,,,,,,,,,,,,,,,4831
-80.51666666666667,43.483333333333334,WATERLOO WPCP,6149386,6149386.2017.7.12,2017-07-12 00:00:00,ON,2017,7,12,,,,,,,,,,,,,,,,,,,,,,,,,4831
